Elkridge,Central Maryland Rock and Mineral Collectors Exchange,https://www.meetup.com/rockhounds/,Maryland 
Baltimore,Chesapeake Gem & Mineral Society,http://www.chesapeakegemandmineral.org/,Maryland 
Baltimore,"Gem Cutters Guild of Baltimore, Inc.",http://www.gemcuttersguild.com/,Maryland 
Rockville,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",http://www.glmsmc.com/,Maryland 
Bowie,Maryland Geological Society,http://www.ecphora.net/mgs/,Maryland 
"Washington, DC",Micromineralogists of the National Capital Area,http://dcmicrominerals.org/,Maryland 
Annapolis,Patuxent Lapidary Guild,http://www.patuxentlapidary.org/,Maryland 
Clinton,Southern Maryland Rock and Mineral Club,http://www.smrmc.org/,Maryland 
"Washington, DC",The Mineralogical Society of the District of Columbia,http://www.mineralogicalsocietyofdc.org/,Maryland 
Boston,"Boston Mineral Club, Inc.",http://www.bostonmineralclub.org/,Massachusetts 
Springfield,Connecticut Valley Mineral Club,http://www.cvmineralclub.org/,Massachusetts 
Chemlsford,Micromounters of New England,http://micromountersofnewengland.org/,Massachusetts 
Westford,Nashoba Valley Mineralogical Society,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society,Massachusetts 
South Hamilton,North Shore Rock & Mineral Club of Massachusetts,http://www.northshorerock.org/,Massachusetts 
North Adams,Northern Berkshire Mineral Club,http://nbmclub.webs.com/,Massachusetts 
Bridgewater,Southeastern Massachusetts Mineral Club,http://semmc.com/,Massachusetts 
Worcester,Worcester Mineral Club,http://worcestermineralclub.org/,Massachusetts 
Big Rapids,"Big Rapids Rock, Gem & Mineral Club",https://sites.google.com/site/bigrapidsrockgemmineralclub/,Michigan 
Lansing,Central Michigan Lapidary and Mineral Society,http://michrocks.org/,Michigan 
Dollar Bay,Copper Country Rock and Mineral Club,http://www.ccrmc.info/,Michigan 
Flint,Flint Rock and Gem Club,http://www.flintrockandgem.org/,Michigan 
Traverse City,Grand Traverse Area Rock and Mineral Club,http://tcrockhounds.com/,Michigan 
Wyoming,Indian Mounds Rock & Mineral Club,http://www.indianmoundsrockclub.com/,Michigan 
Ishpeming,Ishpeming Rock and Mineral Club,http://www.ishpemingrocks.org/,Michigan 
Kalamazoo,Kalamazoo Geological & Mineral Society,http://kalamazoorockclub.org/,Michigan 
Howell,Livingston Gem & Mineral Society,http://www.livingstongemandmineralsociety.com/,Michigan 
Michigan Center,Michigan Gem & Mineral Society,http://mgmsrockclub.com/,Michigan 
Bloomfield Hills,Michigan Mineralogical Society,https://www.michmin.org/,Michigan 
Midland,Mid-Michigan Rock Club,http://www.midmichrockclub.com/?Page=1,Michigan 
Grand Rapids,Midwest Faceters' Guild,http://www.midwestfaceters.org/,Michigan 
Taylor,Midwest Mineralological & Lapidary Society,http://www.mmls.us/,Michigan 
